"last_name","last_name_frequency"
"Baba",226
"Coorg",223
"Gelosh",223
"Sudbeck",222
"Farris",222
"Adachi",221
"Osgood",220
"Mandell",218
"Neiman",218
"Masada",218
"Boudaillier",217
"Wendorf",217
"Solares",216
"Pettis",216
"Cummings",216
"Mahnke",216
"Emmart",215
"Kulisch",215
"Maksimenko",215
"Birjandi",215
"Collette",215
"Scallan",214
"Rosaz",214
"Boguraev",214
"Pokrovskii",214
"Siksek",213
"Stifter",213
"Wolniewicz",213
"Morrey",213
"Taubman",212
"Siepmann",212
"Swen",212
"Peek",212
"Pramanik",212
"Rajcani",212
"Herber",212
"Garrabrants",212
"Rabehasaina",212
"Asser",211
"Gente",211
"Kamber",211
"Cangellaris",211
"Ventosa",211
"Kitsuregawa",211
"Barriga",211
"Ghemri",211
"Schaaf",210
"Luce",210
"Driscoll",210
"Redmiles",210
"Bolsens",210
"Lunt",209
"Gerlach",209
"Zuberek",209
"Malabarba",209
"Gewali",209
"Khasidashvili",209
"Lamparter",209
"Chenney",209
"Serra",209
"Flowers",209
"Gecsei",208
"Jenevein",208
"Panienski",208
"Lowrie",208
"Cesareni",208
"Aloia",208
"Akazan",207
"Angelopoulos",207
"Garnier",207
"Lamba",207
"Duclos",206
"Chimia",206
"Bondorf",206
"Gaughan",206
"Foote",206
"Perng",206
"Braunmuhl",206
"Hebert",206
"Lanphier",205
"Marakhovsky",205
"Siprelle",205
"Matzov",205
"Ponthieu",205
"Emden",205
"Aamodt",205
"Garnham",205
"Geffroy",205
"Onuegbe",205
"Ecklund",205
"DeMori",205
"Encarnacion",205
"Panangaden",205
"Bennet",205
"Shimshoni",205
"Legleitner",204
"Shrader",204
"Argence",204
"Whitcomb",204
"Riexinger",204
"Shiratori",204
"Linares",204
"Coors",204
"Luders",204
"Swick",204
"Desikan",204
"Malinowski",204
"Alpin",204
"Ghandeharizadeh",203
"Conta",203
"Tramer",203
"Ishibashi",203
"Feinberg",203
"Champarnaud",203
"Ramsay",203
"Doering",203
"Tetzlaff",203
"Lorho",203
"Herbst",203
"Kirkerud",203
"Penttonen",203
"Lubachevsky",202
